Message,Extracted,Expected
"Ecom Express Executive 08046809000 PIN 52920 will deliver your Flipkart order 9107791704. Pay Rs 1649.0(CASH,UPI,Payment Link). Code to refuse is 819340",52920,819340
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 360026 RS. 994456 A/C NO. XXXX3403 916187. DO NOT SHARE.",3403,916187
"Dear Customer,TRENDS SPECIAL OFFER! Get Rs500 OFF on shopping of Rs1999.FRESH SEASON AVAILABLE IN STORES.Use Code TRNDWE35ZY3103 Valid till Mar 31 Rush Now.T&C",353103,nan
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 919663 RS. 509501 A/C NO. XXXX4445 992137. DO NOT SHARE.",4445,992137
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 634538 RS. 843698 A/C NO. XXXX5173 156543. DO NOT SHARE.",5173,156543
Dear Customer OTP INITIATE E-MANDATE SBI REQUEST ID TM2211929530101 RS. 500000.00 A/C NO. XXXX1899 716514. SHARE ANYONE. -SBI,1899,716514
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 435831 RS. 682357 A/C NO. XXXX4239 757909. DO NOT SHARE.",4239,757909
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 386645 RS. 544295 A/C NO. XXXX6190 742563. DO NOT SHARE.",6190,742563
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 724892 RS. 147190 A/C NO. XXXX8320 903081. DO NOT SHARE.",8320,903081
Ecom Express Executive 08046809000 PIN 356394 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 652656,356394,652656
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 357951 RS. 233232 A/C NO. XXXX4689 209226. DO NOT SHARE.",4689,209226
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 644176 RS. 448134 A/C NO. XXXX4677 462202. DO NOT SHARE.",4677,462202
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 184892 RS. 322180 A/C NO. XXXX1852 636900. DO NOT SHARE.",1852,636900
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 750511 RS. 492458 A/C NO. XXXX9237 443210. DO NOT SHARE.",9237,443210
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 218898 RS. 212115 A/C NO. XXXX6143 247155. DO NOT SHARE.",6143,247155
Ecom Express Executive 08046809000 PIN 411772 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 652656,411772,652656
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 152086 RS. 582879 A/C NO. XXXX5888 198016. DO NOT SHARE.",5888,198016
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 943360 RS. 556871 A/C NO. XXXX8461 619424. DO NOT SHARE.",8461,619424
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 579267 RS. 309208 A/C NO. XXXX2125 863775. DO NOT SHARE.",2125,863775
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 333044 RS. 327013 A/C NO. XXXX7180 559048. DO NOT SHARE.",7180,559048
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 616163 RS. 855910 A/C NO. XXXX3478 440338. DO NOT SHARE.",3478,440338
Ecom Express Executive 08046809000 PIN 251795 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 669228,251795,669228
Ecom Express Executive 08046809000 PIN 149683 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 159297,149683,159297
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 894359,95362,894359
Ecom Express Executive 08046809000 PIN 95734 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 669228,95734,669228
"Ecom Express Executive 08046809000 PIN 21214 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 338128",21214,338128
Ecom Express Executive 08046809000 PIN 00627 will deliver your https://shopee/ AWB 9081429253 today. Rs 232.0 payable. Delivery code 580787,00627,580787
"MPIN changed successfully @CANDI on 13-Apr-2022 at 21:53:35. If not you, send SUSPECT to 56161. Helpline 18004250018.-Canara Bank.",132022,nan
Dear Savita Chaudhary successfully vaccinated 2nd Dose COVISHIELD 21-10-2021 12:00 PM. may download vaccination Certificate - - CoWIN,21102021,nan
Dear Customer request received registering Jio Payments Bank account. share OTP avoid financial loss. Call 1800 891 9999,9999,nan
Dear Ratan Giri successfully vaccinated 2nd Dose COVAXIN 14-02-2022 02:07 PM. may download vaccination Certificate - - CoWIN,14022022,nan
Dear Sandeep successfully vaccinated 1st Dose COVAXIN 23-09-2021 05:14 PM. may download vaccination Certificate - - CoWIN,23092021,nan
Dear Prakash successfully vaccinated 2nd Dose COVISHIELD 25-11-2021 09:51 AM. may download vaccination Certificate - - CoWIN,25112021,nan
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 25000000 2.5 CR Entry Fees - Win -,63065557,nan
Dear Senthilkumar successfully vaccinated 1st Dose COVISHIELD 05-01-2022 11:26 AM. may download vaccination Certificate - - CoWIN,05012022,nan
Dear Pooja Jitendra Shambharkar successfully vaccinated 2nd Dose COVISHIELD 18-11-2021 02:35 PM. may download vaccination Certificate - - CoWIN,18112021,nan
"Hi Sp davawala,


As you were looking for a price offer on your 2018 Maruti Suzuki Eeco with SellRight, we'd like you to know that you can avail of your FREE DOORSTEP EVALUATION whenever you like. All you need to do is click here - weurl.co/ika5f4


SellRight by Spinny",2018,nan
"Out for Delivery: Steelbird SB-50 Adonis... with tracking ID FMPC1753773531 from flipkart.com, will be delivered between 12:00PM - 04:00PM today by an EKART Wish Master (call 04440114101, PIN 157). Please check with the Wishmaster if you can pay using SMS payment link. To know about safety measures taken to ensure a safe delivery of your order, click here: http://ekrt.in/uxTPUDNNNN .",1200,nan
"Out for Delivery:mik Applique Stylish, ... with tracking ID FMPC1823195700, will be delivered between 07:30PM - 11:30PM today by an EKART Service Partner (call 09657882288, PIN 296). Please pay Rs.162.0 by cash..",0730,nan
138698 OTP is813421 Valid 2 minutes.- GCARDE,813421,138698
"Out for Delivery: ShoppKing OnePlus X Ba... with tracking ID FMPC1573530578 from flipkart.com, will be delivered between 11:00AM - 03:00PM today by an EKART Wish Master (call 09657882288, PIN 132). Please check with the Wishmaster if you can pay using SMS payment link. To know about safety measures taken to ensure a safe delivery of your order, click here: http://ekrt.in/j733JXuuuN .",1100,nan
"Out for Delivery: ShoppKing OnePlus X Ba... with tracking ID FMPC1573530578 from flipkart.com, will be delivered between 11:30AM - 03:30PM today by an EKART Wish Master (call 09657882288, PIN 129). Please check with the Wishmaster if you can pay using SMS payment link. To know about safety measures taken to ensure a safe delivery of your order, click here: http://ekrt.in/_CCWwJNNNN .",1130,nan
"Out for Delivery:mik Applique Stylish, ... with tracking ID FMPC1823195700, will be delivered between 10:00AM - 02:00PM today by an EKART Service Partner (call 09657882288, PIN 296). Please pay Rs.162.0 by cash..",1000,nan
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 174). Keep the product ready with all accessories and tags for verification.",33000,nan
FB-180952 Facebook confirmation code 53158,53158,180952
"IPL Fiesta is back! Refresh Wardrobe with your Favourite Jersey colors from PETER ENGLAND Spring Collection! Also, Get FREE Rs.2000 shopping on purchase of Rs.6999 at TIRUCHIRAPPALLI Store. Valid till 31Mar.T&C.",2000,nan
FB-696456 Facebook confirmation code 53158,53158,696456
"Your IDBI Bank Debit card has been dispatched via Speed Post -AWB No:JM180191088IN on [07-02-22 00:00:00 IST], pls contact your IDBI Bank branch if card is not delivered in 14 days. For security reasons, your card is enabled only for Domestic ATM & POS trxns. To enable the card for online(Ecom)/contactless/international transactions, kindly download/update latest version of GO Mobile+ App/ Abhay App. Pls generate Debit Card PIN through ATM/Inet/IVR",070222,nan
"Out for Delivery: ArrowMax GYM GLOVES WR... with tracking ID FMPC1784760128 from flipkart.com, will be delivered between 11:30AM - 03:30PM today by an EKART Wish Master (call 09657882288, PIN 174). Please check with the Wishmaster if you can pay using SMS payment link. To know about safety measures taken to ensure a safe delivery of your order, click here: http://ekrt.in/ePEhT1NNNN .",1130,nan
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 129). Keep the product ready with all accessories and tags for verification.",33000,nan
"Enjoy exclusive savings on every payment you make via PayZapp!
With over 2000+ merchants across Bill Payments/Grocery/Shopping & Travel hdfcbk.io/WEB4KAWE7Pfh  T&C",2000,nan
"Out for Delivery: Aroma NB119 Titanium -... with tracking ID FMPC1763186821 from flipkart.com, will be delivered between 01:30PM - 05:30PM today by an EKART Wish Master (call 04440114101, PIN 123). Please check with the Wishmaster if you can pay using SMS payment link. To know about safety measures taken to ensure a safe delivery of your order, click here: http://ekrt.in/K5M!59uuuN .",0130,nan
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 142). Keep the product ready with all accessories and tags for verification.",33000,nan
"Out for Delivery: Stefano Rads Classy Sn... with tracking ID FMPC1752290091 from flipkart.com, will be delivered between 09:30AM - 01:30PM today by an EKART Wish Master (call 04067820005, PIN 180). Please check with the Wishmaster if you can pay using SMS payment link. To know about safety measures taken to ensure a safe delivery of your order, click here: http://ekrt.in/2AcDiaNNNN .",0930,nan
Go Easy this Holi at Spar-Easybuy! Celebrate in style with family starting just Rs129. Get Home Centre 4 Pc Set @ 249 on shopping of 2999. bit.ly/37nfFG4 TC,2999,nan
"Out for Delivery: Stefano Rads Classy Sn... with tracking ID FMPC1771579632 from flipkart.com, will be delivered between 09:30AM - 01:30PM today by an EKART Wish Master (call 04067820005, PIN 123). Please check with the Wishmaster if you can pay using SMS payment link. To know about safety measures taken to ensure a safe delivery of your order, click here: http://ekrt.in/EIh2qiNNNN .",0930,nan
"Dear Customer, reset MPIN request @CANDI has been failed due to 13-Apr-2022 on 22:00:09. If not you, send SUSPECT to 56161. Helpline 18004250018.-Canara Bank",132022,nan
"Dear Customer, Thank you for Shopping at Lenskart Store. Please take out some time to share your store experience with us on Google.

lskt.me/R1129",1129,nan
"Out for Delivery: PARK AVENUE Good Morni... with tracking ID FMPC1561008494 from flipkart.com, will be delivered between 08:30AM - 12:30PM today by an EKART Wish Master (call 02071177115, PIN 109). Please check with the Wishmaster if you can pay using SMS payment link. To know about safety measures taken to ensure a safe delivery of your order, click here: http://ekrt.in/Ed0glkNNNN .",0830,nan
"Dear Customer,
Daily Deals
@VISHAL MEGAMART

Mon-Almond1kg-at629
Tue-Shampoo-at40%OFF
Wed-SpinMopMrp1350-at449
Thu-VIPTrolley Mrp6495-at2599
Unsub +918067006167",1629,nan
"Out for Delivery:ORENICS 33000 mAh Powe... with tracking ID FMPC1815302951, will be delivered between 01:30PM - 05:30PM today by an EKART Service Partner (call 09174003000, PIN 286). Please pay Rs.550.0 by cash..",33000,nan
"Hi Amit thakur, greetings from Paytm!
Your bus ticket has been confirmed and details are sent to apputhakur4399@gmail.com
Here are your booking details
Amritsar to Chandigarh
Zingbus
BHARAT BENZ SEMI-SLEEPER
PNR: ZB211027130521
--
Ticket No: 22D4KNW
Paytm Booking ID: 15734767880
Passengers: amit thakur
Seats: 33(M)
Boarding time: 20:00 Wed, 27 Oct 2021
Location: Bhawani Travels Hall gateBhawani Travels, Hall Gate Cir, Pink Plaza Market, Hathi Gat
Landmark: Bhawani Travels Hall gate
--
8287009889
Drop: Indo Canadian Tpt
Please check Paytm app or registered email address for complete ticket details.
For assistance contact: 0120 4880880 or https://paytm.com/care
----",4399,nan
"Raman, end 2021 on a good note
Buy 3, Get 20% Off | Buy 2, Get 15% Off
Free Shipping @ Year End Sale
http://smsd.in/buEM555B0",2021,nan
"Out for Delivery:HOTSTYLE Running Shoes... with tracking ID FMPC1854778553, will be delivered between 08:30AM - 12:30PM today by an EKART Service Partner (call 09174003000, PIN 273). Please pay Rs.229.0 by cash..",0830,nan
"Out for Delivery: SILVERSHOPE Silvershop... with tracking ID FMPC1648394175 from flipkart.com, will be delivered between 12:30PM - 04:30PM today by an EKART Wish Master (call 04440114101, PIN 129). Please check with the Wishmaster if you can pay using SMS payment link. To know about safety measures taken to ensure a safe delivery of your order, click here: http://ekrt.in/gXDGx0uuuN .",1230,nan
Arriving today: ONLINE shipment 2920584874. Use otp 674504 to receive your package. Call 08046809000 PIN:33476 - Ecom Express,33476,674504
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-03-14 14.22.16. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,5823,nan
"Dear Customer,TRENDS SPECIAL OFFER! Get Rs500 OFF on shopping of Rs1999.FRESH SEASON AVAILABLE IN STORES.Use Code TRNDDLQXJ73103 Valid till Mar 31 Rush Now.T&C",73103,nan
"Dear Customer,TRENDS SPECIAL OFFER! Get Rs500 OFF on shopping of Rs1999.FRESH SEASON AVAILABLE IN STORES.Use Code TRNDNW2NTY3105 Valid till 31 May Rush Now.T&C",23105,nan
"Mani, this is only valid till midnight
Get Flat Rs.333 Off on Min. Spend of Rs.1499
Free Shipping @ Myntra For Her
http://smsd.in/bzHZZKM7A",1499,nan
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard r1t.in/7875313460/a",5000,nan
Dear Customer RefNum KBL cardless withdrawal amount 100 985175. Plz dont share anyone fraudster may call get number.-Karnataka Bank,985175,nan
"2 negative account(s) are stopping your credit score from improving
Act now to become eligible for top loans
v.db1.in/1BF45x
CreditMantri",1145,nan
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard http://1kx.in/XZ9zq0 CCARDD",5000,nan
"Dear 7875XXXX60, WIN upto Rs 25 Lakhs! Spin the Jackpot & Win a Bullet Bike, Sachin's Signed Bat & much more only on Paytm First Games. m.paytm.me/fjk T&C",787560,nan
"Out for Delivery:LOIS CARON LCS-8188 BL... with tracking ID FMPC1761232888, will be delivered today by an EKART Service Partner (call 04440114101, PIN 172). Please pay Rs.329.0 by cash..",8188,nan
"Raman, first time shopping on Myntra?
Get Flat Rs.333 Off on Min. Spend of Rs.1499
Free Shipping @ Not Foolin' Around Sale
http://smsd.in/b12MPQJho",1499,nan
"Raman, Rs.500 MynCash expires @ Midnight
Combine it with Flat Rs.400 Off | Only on Myntra
Free Shipping @ Hot Like Summer Sale
http://smsd.in/b275Nc4ts",2754,nan
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-03-30 13.41.28. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,5823,nan
Citykart mein apki shopping hogi ab aur bhi Dhamakedaar! Paaye FREE Rs.500 Ki Shopping Rs.1000 ki khareed par. Cpn 04032PSUJM5 - CityKart T&C* -CITYKART,1000,nan
Haven't picked your Wedding outfit yet? PETER ENGLAND has got your back. Fresh Summer Collection just dropped at our Trichurapalli Store. Visit NOW and avail FREE Rs.2000 shopping on purchase of Rs.6999. Valid till 30 Apr.TC.,6999,nan
"Raman, get Flat Rs.333 Off + Free Shipping
Shop this offer before midnight | Min. Spend: Rs.1499
Explore the End Of Reason Sale
http://smsd.in/bukFXVMgi",1499,nan
TRENDS Special Offer!Get Rs500 OFF on Latest Merchandise on shopping of Rs1250 @stores open with highest safety standards.Use Code TRNDDG24XR3011 til 28 Nov.T&C,243011,nan
"Out for Pickup: KUBRA KB-2028 Cordless... with tracking ID FMPR0276874629 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 07529054000, PIN 108). Keep the product ready with all accessories and tags for verification.",2028,nan
"Dear SBI Customer, transaction dated 29-Apr-22 15:19:25 through card ending 8981 has been declined due to PIN TRIES EXCEEDED.",2922,nan
"Dear Customer,TRENDS SPECIAL OFFER! Get Rs500 OFF on shopping of Rs1999.FRESH SEASON AVAILABLE IN STORES.Use Code TRND2PLHSE3103 Valid till Mar 31 Rush Now.T&C",23103,nan
Dear Paras successfully vaccinated 2nd Dose COVAXIN 10-02-2022 12:53 PM. may download vaccination Certificate - - CoWIN,10022022,nan
Dear Parbata Parasram Meshram successfully vaccinated 1st Dose COVAXIN 27-12-2021 10:52 AM. may download vaccination Certificate - - CoWIN,27122021,nan
"Raman, it's the last day of End Of Reason Sale
Get Flat Rs.500 Off + 30-day Free Shipping
Shop now | Min. Spend: Rs.2499
https://infn.in/ICBj8j",2499,nan
"Dear 6352XXXX89, WIN upto Rs 25 Lakhs! Spin the Jackpot & Win a Bullet Bike, Sachin's Signed Bat & much more only on Paytm First Games. m.paytm.me/fjk T&C",635289,nan
"Dear SBI Customer, transaction dated 29-Apr-22 15:23:25 through card ending 8981 has been declined due to PIN TRIES EXCEEDED.",2922,nan
Dear Customer RefNum KBL cardless withdrawal amount 100 433874. Plz dont share anyone fraudster may call get number.-Karnataka Bank,433874,nan
Dear Customer RefNum KBL cardless withdrawal amount 100 379513. Plz dont share anyone fraudster may call get number.-Karnataka Bank,379513,nan
INR 320 debited A/c 2533 ATM POS/84572793/22:19:18/21032290 Bal 692976.6713-04-2022 22:19:21. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,2533,nan
We have credited Rs.5 in your wallet. Use it to play 25+ games on MPL. Win upto Rs.10000 real cash on spinwheel everyday this GIGL. Play now: bit.ly/3L4xZ5m,10000,nan
"UPI txn of Rs.100.00 thru A/C XX1525 on 23-3-22 at 01:40:58 to Gajanand Infotech failed due to WRONG UPI PIN. If not you, SMS BLOCKUPI to 9901771222-Canara Bank",10000,nan
"Dear Customer,TRENDS SPECIAL OFFER! Get Rs500 OFF on shopping of Rs1999.FRESH SEASON AVAILABLE IN STORES.Use Code TRND88SIV53103 Valid till Mar 31 Rush Now.T&C",8853103,nan
PSB000000000273008 A/c 378052 Credited Rs 191-- MOBILE Cr-IMPS :P2A/918020110872063/GOOGLEINDIADIGITAL CLR BAL 33327.59CR16-07-2021 00:23:58-PunjabSind Bank,002358,nan
"Dear magicpin customer, we have added Rs.1000 worth points in your wallet. Save on vouchers from your favourite stores.Claim now: https://magicpin.in/webapp/",1000,nan
"Dear 7807XXXX29, WIN upto Rs 25 Lakhs! Spin the Jackpot & Win a Bullet Bike, Sachin's Signed Bat & much more only on Paytm First Games. m.paytm.me/fjk T&C",780729,nan
Dear Vimla Mishra successfully vaccinated 2nd Dose COVISHIELD 16-08-2021 12:51 PM. may download vaccination Certificate - - CoWIN,16082021,nan
"Raman, get Flat Rs.333 Off on your 1st order
Plus Free Shipping @ Black Friday Sale
Shop now | Min. Spend: Rs.1499
http://smsd.in/bsZCd2H7k",1499,nan
"Mani, get Flat Rs.333 Off + Free Shipping
Shop this offer before midnight | Min. Spend: Rs.1499
Explore the End Of Reason Sale
http://smsd.in/bukGSibHu",1499,nan
"Why RISK stepping out!
To help you easily repay your HDFC Bank GOLD LOAN Loan A/c 73299580 our associate HDB FINANCIAL SERVICES LTD will contact you.
You can also call them at 07966215024
Ignore if paid.
Read Collections & Grievance Redressal Policy: hdfcbk.io/k/DUvfELWoVOf 
Note: We record our customer calls for training & quality check",73299580,nan
OTP 915018.Ref.ID-67115886Dated 08/11/2020 08:55. DISCLOSE OTP ANYONE MEANS. UPI transaction use,08112020,915018
Arriving today: ONLINE shipment 2920584874. Use OTP 674504 to receive your package. Call 08046809000 PIN:33476 - Ecom Express,33476,674504
735668 winners Rs 12L cashback month turn winner Use Finserv MARKETS UPI win cashback rewards weekly,735668,nan
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard http://1kx.in/UXokOt CCARDD",5000,nan
"Hi, Happiness is... Buy 1 Get 1 FREE
Shop Now! OMG Sale is on FIREEE
Hurry, Sale Ending Soon
Code: OMG


Shop - https://u1.mnge.co/LDB31x3


Mamaearth",1313,nan
"Badal, shop your faves @ the Flat Rs.499 store
Also, get 50-80% Off + Free Shipping on the best
Explore the Myntra Diwali Sale
http://smsd.in/bqBlqUvM6",5080,nan
"Dear Srinu ,
We miss you at MAX Fashion!
Get Rs500 OFF on Shopping of Rs2499 on MaxFashion.in
Usecode: GET500 , Shop now at bit.ly/32XUp46 TnC",2499,nan
"Dear Member, Due to the Covid regulations South India Shopping Mall is now open from 7:00 AM to 11:30 AM. Ready for a safe shopping experience at mqml.co/2q9",1130,nan
Arriving today: ONLINE shipment 2920584874. Use OTP 674504 receive package. Call 08046809000 PIN:33476 - Ecom Express,33476,674504
"Out for Pickup: KUBRA KB-2028 Cordless... with tracking ID FMPR0276874629 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 07529054000, PIN 248). Keep the product ready with all accessories and tags for verification.",2028,nan
"Dear Member, FREE Footwear Shopping, 22 - 26 May @ www.mycentral.in

FLAT 50% OFF + 50% CASHBACK on over 10,000 Styles | 100 Brands.

Click to Shop - @ www.mycentral.in",10000,nan
"Groom or Guest, we promise to make you look the Best, this wedding season with our PETER ENGLAND Ceremonial Collection. Shop from our latest range of Suits & Blazers and avail FREE Rs.2000 shopping on purchase of Rs.6999 only at Trichurapalli Store. Valid till 30 Apr. TC.",2000,nan
PSB000000000273008 A/c 233886 Credited Rs 191-- MOBILE Cr-IMPS :P2A/918020110872063/GOOGLEINDIADIGITAL CLR BAL 33327.59CR16-07-2021 00:23:58-PunjabSind Bank,002358,nan
INR 320 debited A/c 2533 ATM POS/84572793/22:19:18/21032290 Bal 40596.6713-04-2022 22:19:21. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,2533,nan
INR 130 debited A/c 2533 ATM POS/5P631283/22:57:46/20972294 Bal 382679.1707-04-2022 22:57:46. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,2533,nan
INR 130 debited A/c 2533 ATM POS/5P631283/22:57:46/20972294 Bal 44858.1707-04-2022 22:57:46. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,2533,nan
"Dear Customer,
1IndiaFamilyMart brings FRESH SUMMER OFFER!
Free Shopping of Rs.1000 on Shopping of Rs.1000.
Offer valid on fresh stock.
T&C Apply",1000,nan
"Dear 63805692XX,
Open Axis ASAP Savings/Cashback Account.
Get up to 15 %* cashback on Flipkart & Amazon shopping.
Click http://p2x.in/4VxCLL TIS",63805692,nan
"Dear Customer,TRENDS SPECIAL OFFER! Get Rs500 OFF on shopping of Rs1999.FRESH SEASON AVAILABLE IN STORES.Use Code TRNDIBF1E53004 Valid till Apr 30 Rush Now.T&C",153004,nan
"2 negative account(s) are stopping your credit score from improving
Act now to become eligible for top loans
v.db1.in/1q120G
CreditMantri",11120,nan
CAUTION! Do not share this message. Your One Time PIN for Debit Card ending 4388 is Eight Five Seven Two. Set your new PIN within 24 hrs through Banking -- PIN Change option at any SBI ATM. Download YONO ! www.yonosbi.com.-SBI,4388,nan
"Badal, Pay Day Sale ends @ midnight
Get 40-80% + Flat Rs.400 Off on the best styles
Hurry! Shop now with Free Shipping
http://smsd.in/bmDztfaTW",4080,nan
"Dear 9823XXXX59, WIN upto Rs 25 Lakhs! Spin the Jackpot & Win a Bullet Bike, Sachin's Signed Bat & much more only on Paytm First Games. m.paytm.me/fjk T&C",982359,nan
"UPI PIN is set for your Paytm Payments Bank a/c 91XXXXXXXX61. If you have not initiated this request, contact us on 01204456456 immediately :PPBL",9161,nan
"Dear Customer,TRENDS SPECIAL OFFER! Earn 7X ROne Loyalty points on shopping of Rs.1999. Get 10X points on shopping of Rs2999. Valid Till April 30. T&C",2999,nan
"Dear Customer, request received for registering your Jio Payments Bank account. Do not share your OTP to avoid any financial loss. Not you? Call 1800 891 9999",9999,nan
"You have successfully set UPI PIN for a/c s XXXXXX3983 linked to Cust ID XXXXX5372. If it's not you, call 18002584455 immediately - Bank of Baroda",3983,nan
"Out for Delivery:Aroma NB119B Badshah -... with tracking ID FMPC1749919207, will be delivered today by an EKART Service Partner (call 04440114101, PIN 313). Please pay Rs.539.0 by cash..",5390,nan
Please tap on the safe link to reset new pin for your Zebpay account. https://v.zebpay.com/pv/Kuvp6IqaXptm51Lbay18qw==,65118,nan
"Mani, this offer is just for you
Get Flat Rs.333 Off on Min. Spend of Rs.1499 | Only on Myntra
Free Shipping @ Fashion Haul Sale
http://smsd.in/b0XDHVwtE",1499,nan
"Kulwinder, Myntra's best offer is back!
Buy 1, Get 3 Free On the best styles
Free Shipping @ Hot Like Summer Sale
http://smsd.in/b27Q9J4yQ",2794,nan
"Get Shopping voucher Rs.5000, upto 20% off @ 4000+ restaurants & complimentary lounge access with Axis Bank PRIVILEGE CreditCard http://1kx.in/LBSwJe CCARDD",5000,nan
"Out for Delivery:Best Mens Streachable ... with tracking ID WSPC1050549381, will be delivered today by an EKART Service Partner (call 04045206046, PIN 302). Please pay Rs.999.0 by cash..",9990,nan
"Out for Delivery:Robbie jones Casual Sh... with tracking ID FMPC1331854239, will be delivered today by an EKART Service Partner (call 04045206046, PIN 153). Please pay Rs.299.0 by cash..",2990,nan
PSB000000000273008 A/c 2045 Credited Rs 191-- MOBILE Cr-IMPS :P2A/918020110872063/GOOGLEINDIADIGITAL CLR BAL 33327.59CR16-07-2021 00:23:58-PunjabSind Bank,002358,nan
"Dear SBI customer, your transaction at POS 35R07020 has been declined due to incorrect PIN. Please enter the correct PIN.",3507020,nan
"Mani, it's the last day of End Of Reason Sale
Get Flat Rs.500 Off + 30-day Free Shipping
Shop now | Min. Spend: Rs.2499
https://infn.in/r8rBP8",2499,nan
We have received a wrong UPI PIN attempt in your Account XX5823 on 2022-05-07 11.08.39. Use SIB Mirror+ to reset MPIN. bit.ly/SIBmirrorplus -South Indian Bank,5823,nan
"You have successfully set UPI PIN for your Paytm Payments Bank a/c 91XXXXXXXX62. If you have not initiated this request, contact us on 01204456456 immediately.",9162,nan
Dear Vivek Rathour successfully vaccinated 1st Dose COVAXIN 09-02-2022 03:44 PM. may download vaccination Certificate - - CoWIN,09022022,nan
"Dear Customer, you have successfully set the UPI PIN with Paytm Payments  app. In case it was not you, please call ICICI Bank Customer Care on (022 3366 7777).",3366,nan
Shadowfax rider 914461710281 PIN 7119 will deliver your Anarkali order AWB SF206583905443FPL today. Attempt code 8195 Visit https://tracker.shadowfax.in,7119,8195
"Ecom Express Executive 08046809000 PIN 44038 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 965533",44038,965533
"Dear Rajesh Kumar Goswami, Thanks for shopping at SADANA ELECTRIC STORES, your invoice no is SC2529. For support, call our helpline at 1800407267864. We hope you loved shopping with us. Share your feedback here rml.fm/i08jKa - Samsung",2529,nan
Dear Customer OTP INITIATE E-MANDATE SBI REQUEST ID TM2211929530542 RS. 500000.00 A/C NO. XXXX1899 62761129. SHARE ANYONE. -SBI,1899,62761129
"Dear SBI Customer, transaction dated 17-Oct-21 11:27:21 through card ending 4388 has been declined due to Do PIN change.",1721,nan
"LAST WEEK of SALE at CENTRAL, GET 100% CASHBACK  TnC bit.ly/3B0kWy1

EXTRA Rs500 OFF 432356410812 on Rs4999 Shopping, ONLY for YOU + Bank Offer & GIFTS @ Stores",4999,nan
